Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,233.110001,234.570007,232.880005,234.570007,219.426208,68405400
2017-04-18,233.720001,234.490005,233.080002,233.869995,218.771393,83225800
2017-04-19,234.520004,234.949997,233.179993,233.440002,218.369141,68699900
2017-04-20,234.149994,235.850006,233.779999,235.339996,220.146484,92572200
2017-04-21,235.250000,235.309998,234.130005,234.589996,219.444916,110389800
2017-04-24,237.179993,237.410004,234.559998,237.169998,221.858353,119209900
2017-04-25,237.910004,238.949997,237.809998,238.550003,223.149246,76698300
2017-04-26,238.509995,239.529999,238.350006,238.399994,223.008942,84702500
2017-04-27,238.770004,238.949997,237.979996,238.600006,223.196014,57410300
2017-04-28,238.899994,238.929993,237.929993,238.080002,222.709595,63532800
2017-05-01,238.679993,239.169998,238.199997,238.679993,223.270859,66882500
2017-05-02,238.839996,238.979996,238.300003,238.770004,223.355072,57375700
2017-05-03,238.770004,238.880005,237.699997,238.479996,223.083771,73137700
2017-05-04,238.830002,238.919998,237.779999,238.759995,223.345703,61462700
2017-05-05,239.190002,239.720001,238.679993,239.699997,224.225052,62001300
2017-05-08,239.750000,239.919998,239.169998,239.660004,224.187592,48385700
2017-05-09,239.960007,240.190002,239.039993,239.440002,223.981812,51363200
2017-05-10,239.389999,239.869995,239.149994,239.869995,224.384018,54293800
2017-05-11,239.350006,239.570007,238.130005,239.380005,223.925674,62358300
2017-05-12,239.089996,239.429993,238.669998,238.979996,223.551514,53912700
2017-05-15,239.470001,240.440002,239.449997,240.300003,224.786301,61918900
2017-05-16,240.639999,240.669998,239.630005,240.080002,224.580475,51241800
2017-05-17,240.080002,240.080002,235.750000,235.820007,220.595520,172174100
